2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
321.7316 35040.506 0.8114 4.003e-05 341.2823 16408.863 0.8382 3.593e-05 414.1301 2243.7007 0.9127 0.0003814 421.0072 1226.4321  8.903e-01  9.601e-04
323.5096 35259.986 0.8203 4.066e-05 342.9982 16514.769 0.8419 3.7e-05 416.3718 2256.7349 0.9178 0.0003924 423.2008 1232.4191  8.963e-01  1.044e-03
325.3 35479.466 0.8291 3.966e-05 344.7257 16620.674 0.8467 5.503e-05 418.616 2269.769 0.9227 0.0003746 425.3952 1238.4060  9.024e-01  9.781e-04
327.0824 35698.945 0.8375 3.614e-05 346.4532 16726.58 0.8533 6.73e-05 420.8573 2282.8032 0.9277 0.0003772 427.5854 1244.3929  9.078e-01  8.333e-04
328.8726 35918.425 0.8448 3.041e-05 348.1723 16832.485 0.8606 6.918e-05 423.106 2295.8374 0.9322 0.0003173 429.7826 1250.3799  9.127e-01  8.253e-04
330.6491 36137.905 0.8511 2.777e-05 349.9216 16938.391 0.8678 6.784e-05 425.344 2308.8716 0.936 0.0002622 431.9697 1256.3668  9.176e-01  8.086e-04
332.4469 36357.384 0.8571 2.726e-05 351.6444 17044.296 0.8749 6.561e-05 427.5827 2321.9057 0.9394 0.0002797 434.1538 1262.3537  9.225e-01  8.047e-04
334.2143 36576.864 0.8631 2.789e-05 353.3741 17150.202 0.8816 6.013e-05 429.8206 2334.9399 0.9435 0.0003599 436.3376 1268.3406  9.272e-01  7.625e-04
335.989 36796.344 0.8694 2.866e-05 355.1281 17256.107 0.8876 5.367e-05 432.0614 2347.9741 0.9485 0.0003796 438.5116 1274.3276  9.314e-01  6.473e-04
337.772 37015.823 0.8757 2.865e-05 356.8298 17362.013 0.893 4.868e-05 434.2912 2361.0082 0.953 0.0003194 440.6905 1280.3145  9.353e-01  6.696e-04
339.5444 37235.303 0.882 2.903e-05 358.5749 17467.918 0.898 4.538e-05 436.5174 2374.0424 0.957 0.000281 442.8786 1286.3014  9.394e-01  6.925e-04
341.3427 37454.783 0.8884 2.958e-05 360.3037 17573.824 0.9028 4.581e-05 438.75 2387.0766 0.9603 0.0002324 445.0476 1292.2884  9.436e-01  6.944e-04
343.1242 37674.262 0.8949 2.884e-05 362.028 17679.73 0.9078 4.919e-05 440.9598 2400.1108 0.963 0.0001798 447.2180 1298.2753  9.476e-01  6.293e-04
344.9765 37893.742 0.901 2.726e-05 363.7565 17785.635 0.9132 5.191e-05 443.2037 2413.1449 0.965 0.0001281 449.3946 1304.2622  9.510e-01  5.280e-04
346.7365 38113.222 0.9069 2.638e-05 365.4767 17891.541 0.9188 5.417e-05 445.4321 2426.1791 0.9665 0.000112 451.5559 1310.2492  9.541e-01  5.360e-04
348.5218 38332.701 0.9126 2.584e-05 367.2072 17997.446 0.9246 5.413e-05 447.6483 2439.2133 0.9681 0.0001304 453.7153 1316.2361  9.575e-01  6.040e-04
350.3462 38552.181 0.9181 2.411e-05 368.9134 18103.352 0.93 4.545e-05 449.8693 2452.2474 0.9698 0.0001184 455.8807 1322.2230  9.613e-01  6.347e-04
352.1572 38771.661 0.9232 2.196e-05 370.638 18209.257 0.9338 2.689e-05 452.0821 2465.2816 0.9713 0.0001355 458.0345 1328.2100  9.648e-01  4.907e-04
353.9338 38991.14 0.9278 1.959e-05 372.356 18315.163 0.936 1.793e-05 454.2766 2478.3158 0.9735 0.0001912 460.1898 1334.1969  9.671e-01  3.530e-04
