1.Temperature[°C] 1.Time[s] 1.Conversion[-] 1.Conversion_rate[1/s] 2.Temperature[°C] 2.Time[s] 2.Conversion[-] 2.Conversion_rate[1/s] 3.Temperature[°C] 3.Time[s] 3.Conversion[-] 3.Conversion_rate[1/s] 4.Temperature[°C] 4.Time[s] 4.Conversion[-] 4.Conversion_rate[1/s]
112.20871 2341.755 0.184 0.0007855 121.88734 1048.0734 0.2258 0.002636 121.56571 609.0302 0.09766 0.003142 119.50755 384.2363 0.0321 0.002536
112.53109 2351.545 0.1917 0.0007873 122.23868 1052.0452 0.2364 0.002581 121.98812 610.7035 0.1029 0.003051 119.96609 385.2443 0.03449 0.001943
112.85337 2361.335 0.1995 0.0008174 122.60147 1056.0171 0.2465 0.002685 122.38757 612.3769 0.1079 0.003004 120.42491 386.2524 0.03628 0.001845
113.1917 2371.125 0.2076 0.0008148 122.97938 1059.989 0.258 0.002856 122.7768 614.0503 0.1133 0.003425 120.89369 387.2604 0.03882 0.003435
113.50965 2380.915 0.2157 0.0008406 123.36286 1063.9608 0.2689 0.002755 123.16531 615.7236 0.1192 0.003742 121.32671 388.2684 0.04175 0.002093
113.84506 2390.705 0.2242 0.0009158 123.71875 1067.9327 0.2804 0.002948 123.55512 617.397 0.1256 0.003777 121.77428 389.2765 0.04403 0.00304
114.17583 2400.494 0.2333 0.000954 124.09328 1071.9045 0.2922 0.003044 123.96817 619.0704 0.1319 0.003737 122.24279 390.2845 0.04715 0.002817
114.50224 2410.284 0.2429 0.001043 124.47427 1075.8764 0.3044 0.003086 124.35417 620.7437 0.1382 0.003947 122.69789 391.2926 0.05073 0.004418
114.83505 2420.074 0.253 0.001022 124.81927 1079.8483 0.317 0.003237 124.7594 622.4171 0.1454 0.004303 123.17595 392.3006 0.05516 0.004198
115.16053 2429.864 0.2636 0.001154 125.18956 1083.8201 0.33 0.003298 125.15662 624.0905 0.1522 0.003833 123.63688 393.3086 0.05978 0.004906
115.49208 2439.654 0.2744 0.001019 125.55298 1087.792 0.3432 0.003378 125.56018 625.7638 0.1596 0.004701 124.09231 394.3167 0.06511 0.005751
115.82705 2449.444 0.2844 0.001059 125.92039 1091.7639 0.357 0.00356 125.98037 627.4372 0.1675 0.004824 124.55848 395.3247 0.07146 0.006569
116.14872 2459.234 0.2956 0.001214 126.29402 1095.7357 0.371 0.003339 126.36199 629.1106 0.1758 0.005088 125.02986 396.3327 0.07743 0.005773
116.47778 2469.024 0.3072 0.001128 126.65529 1099.7076 0.3845 0.003541 126.76622 630.7839 0.1844 0.005289 125.48542 397.3408 0.08362 0.006536
116.81683 2478.814 0.3176 0.001021 127.00586 1103.6794 0.3992 0.003743 127.16614 632.4573 0.1939 0.005915 125.94515 398.3488 0.09013 0.006805
117.13935 2488.604 0.3282 0.00116 127.38555 1107.6513 0.414 0.003735 127.57956 634.1307 0.2034 0.005669 126.40821 399.3569 0.09725 0.00694
117.46262 2498.394 0.3399 0.001195 127.75733 1111.6232 0.429 0.003896 127.96991 635.804 0.2133 0.006149 126.8939 400.3649 0.1034 0.005629
117.79807 2508.184 0.3515 0.001207 128.10447 1115.595 0.4454 0.004087 128.38689 637.4774 0.2238 0.006355 127.3555 401.3729 0.1092 0.005976
118.13707 2517.974 0.3635 0.001246 128.47211 1119.5669 0.4609 0.003771 128.80945 639.1508 0.2346 0.006513 127.82304 402.381 0.1153 0.005825
118.45754 2527.764 0.3758 0.001262 128.84247 1123.5387 0.4769 0.004163 129.19046 640.8241 0.2457 0.006836 128.28651 403.389 0.1212 0.006331
118.79016 2537.554 0.3889 0.001374 129.18783 1127.5106 0.4933 0.004128 129.59734 642.4975 0.2574 0.007169 128.74664 404.3971 0.1285 0.007317
119.12224 2547.344 0.4024 0.001353 129.543 1131.4825 0.5098 0.004206 129.98361 644.1709 0.2698 0.007199 129.20628 405.4051 0.1345 0.004927
119.44851 2557.134 0.4154 0.001343 129.91698 1135.4543 0.5265 0.004194 130.39994 645.8442 0.2816 0.007295 129.68799 406.4131 0.1411 0.007337
119.76818 2566.924 0.429 0.001431 130.26118 1139.4262 0.5427 0.003957 130.81191 647.5176 0.2946 0.008026 130.15408 407.4212 0.1483 0.0071
120.1179 2576.714 0.4428 0.00135 130.62388 1143.398 0.5592 0.004338 131.20886 649.191 0.3083 0.008364 130.62569 408.4292 0.1565 0.008711
120.444 2586.504 0.4557 0.001342 130.97476 1147.3699 0.5762 0.004286 131.62883 650.8643 0.3226 0.008644 131.11374 409.4373 0.1649 0.007834
120.76614 2596.293 0.47 0.001612 131.32423 1151.3418 0.5937 0.004527 132.03285 652.5377 0.3373 0.00903 131.57801 410.4453 0.1732 0.008894
121.09234 2606.083 0.4854 0.001505 131.67647 1155.3136 0.6113 0.004359 132.4335 654.2111 0.3528 0.009417 132.05241 411.4533 0.1824 0.009224
121.40574 2615.873 0.4999 0.001527 132.03607 1159.2855 0.6284 0.004318 132.84058 655.8844 0.3687 0.009745 132.5566 412.4614 0.1921 0.01055
121.74599 2625.663 0.5147 0.001473 132.38699 1163.2574 0.6458 0.004348 133.24061 657.5578 0.3853 0.01006 133.02894 413.4694 0.2028 0.01023
122.07471 2635.453 0.5292 0.001508 132.73527 1167.2292 0.6629 0.004295 133.66406 659.2312 0.4025 0.01054 133.51114 414.4775 0.2135 0.01123
122.40394 2645.243 0.5442 0.001565 133.08113 1171.2011 0.6802 0.004312 134.06684 660.9045 0.4203 0.01076 133.98728 415.4855 0.2244 0.01053
122.7173 2655.033 0.5592 0.001496 133.42681 1175.1729 0.697 0.004194 134.4648 662.5779 0.4385 0.01093 134.47112 416.4935 0.2356 0.01179
123.06289 2664.823 0.5739 0.001533 133.77525 1179.1448 0.7141 0.004384 134.87515 664.2513 0.4572 0.01163 134.95964 417.5016 0.2486 0.01316
123.39126 2674.613 0.5889 0.001538 134.11645 1183.1167 0.7308 0.004133 135.28768 665.9246 0.4754 0.0103 135.43567 418.5096 0.2615 0.01248
123.71823 2684.403 0.6041 0.001598 134.47585 1187.0885 0.7472 0.004189 135.69341 667.598 0.4931 0.01169 135.91211 419.5176 0.2744 0.01287
124.03091 2694.193 0.6198 0.001571 134.8136 1191.0604 0.7636 0.004049 136.11577 669.2714 0.5129 0.01206 136.39784 420.5257 0.2878 0.01366
124.35934 2703.983 0.6348 0.001511 135.15332 1195.0322 0.7795 0.003992 136.51278 670.9447 0.5334 0.01225 136.89656 421.5337 0.3017 0.01408
124.67294 2713.773 0.6498 0.001515 135.47858 1199.0041 0.7953 0.003867 136.92526 672.6181 0.5534 0.01203 137.37551 422.5418 0.3165 0.01501
125.01495 2723.563 0.6655 0.001669 135.82704 1202.976 0.8099 0.003589 137.33714 674.2915 0.5738 0.01223 137.86059 423.5498 0.3318 0.01521
125.34916 2733.353 0.6817 0.001538 136.16748 1206.9478 0.8244 0.0037 137.73893 675.9648 0.5942 0.01215 138.3529 424.5578 0.3475 0.01596
125.64956 2743.143 0.6965 0.001529 136.4998 1210.9197 0.839 0.00365 138.15373 677.6382 0.6146 0.01222 138.85225 425.5659 0.364 0.01552
126.00751 2752.933 0.7119 0.001617 136.84283 1214.8916 0.8534 0.003519 138.56744 679.3116 0.6351 0.01227 139.33004 426.5739 0.3776 0.01379
126.32012 2762.723 0.727 0.001481 137.1814 1218.8634 0.8669 0.003298 138.95891 680.9849 0.6556 0.01226 139.83406 427.582 0.3941 0.01777
126.6473 2772.513 0.7415 0.001493 137.51667 1222.8353 0.8796 0.003087 139.36761 682.6583 0.6765 0.01282 140.32556 428.59 0.4129 0.01905
126.96579 2782.303 0.7558 0.001468 137.83687 1226.8071 0.8919 0.003135 139.78419 684.3317 0.6973 0.012 140.8141 429.598 0.4312 0.01816
127.29273 2792.092 0.7704 0.001486 138.16458 1230.779 0.9042 0.002994 140.17715 686.005 0.7173 0.01172 141.29585 430.6061 0.45 0.01899
127.61671 2801.882 0.7845 0.001423 138.47566 1234.7509 0.9158 0.002997 140.58746 687.6784 0.735 0.01012 141.80123 431.6141 0.4694 0.01928
127.92973 2811.672 0.7984 0.001406 138.81221 1238.7227 0.9274 0.002769 141.00024 689.3518 0.7534 0.0115 142.29839 432.6222 0.489 0.01981
128.25748 2821.462 0.812 0.001374 139.14277 1242.6946 0.9378 0.002515 141.40102 691.0251 0.7721 0.01094 142.79181 433.6302 0.5092 0.02011
128.58684 2831.252 0.8257 0.001413 139.46841 1246.6664 0.9473 0.002383 141.8096 692.6985 0.7902 0.01067 143.28827 434.6382 0.5299 0.02059
